X,Y,Z
49,87,64
19,80,21
97,81,48
95,24,17
100,78,67
7,50,96
89,28,50
20,1,100
16,34,87
82,66,32
12,18,21
71,50,76
39,70,21
68,57,42
99,6,81
99,87,19
4,47,44
39,91,88
73,90,47
75,61,82
40,15,24
63,90,35
77,39,96
33,40,57
53,15,78
99,92,20
100,18,24
42,29,54
17,95,43
50,9,1
51,6,4
43,50,96
42,14,97
68,33,2
68,20,31
15,22,82
7,39,67
25,59,53
21,15,1
58,49,35
10,17,42
80,85,62
52,42,80
93,50,21
6,73,51
36,1,38
92,10,8
89,1,58
19,11,60
65,51,35
27,89,9
19,79,81
66,95,27
46,58,36
11,42,83
37,67,92
30,68,17
87,30,3
6,76,29
94,70,82
2,54,32
49,35,7
61,70,87
29,69,11
3,10,21
44,57,9
81,3,86
96,57,34
13,93,97
36,18,41
33,27,6
24,40,62
58,93,37
59,50,5
91,67,29
97,9,43
4,76,65
2,30,43
25,70,38
45,62,64
41,7,44
16,4,21
76,77,44
78,52,56
60,32,78
3,100,64
25,62,69
50,31,84
63,93,81
18,32,27
14,99,91
55,19,93
10,6,94
1,66,72
1,33,68
94,44,26
92,70,55
7,36,53
11,31,25
69,4,37
33,55,86
27,90,31
70,62,66
74,10,100
64,52,58
35,79,98
87,60,54
24,58,42
40,29,18
15,67,13
57,28,28
100,34,6
15,100,20
33,97,48
75,43,28
65,17,89
91,43,37
58,68,44
59,47,51
63,28,86
56,63,42
26,59,2
61,3,48
76,46,44
75,2,62
38,54,78
30,5,93
80,95,45
45,21,86
48,39,68
86,93,75
77,14,40
27,2,22
50,57,93
47,23,92
23,76,11
26,69,51
21,19,10
38,100,53
4,93,49
87,9,67
47,46,93
7,86,97
49,18,61
4,36,65
48,58,44
74,54,61
85,11,16
95,31,56
97,26,68
69,63,42
7,84,47
73,97,10
100,5,44
89,26,40
46,35,23
38,22,43
76,49,65
76,10,99
96,26,59
36,32,34
23,43,79
24,87,7
14,22,28
27,69,95
46,97,98
21,74,9
10,4,6
79,3,4
12,19,26
47,50,44
47,72,69
53,51,51
65,25,77
73,49,13
87,96,25
94,13,59
8,25,99
69,12,87
84,71,83
78,63,34
83,46,89
52,63,58
38,23,53
32,85,57
26,44,45
86,67,80
11,82,9
84,58,35
7,70,14
2,68,70
99,39,5
47,69,4
47,37,80
44,94,85
20,53,49
57,96,81
15,54,61
84,72,65
75,5,80
9,25,78
94,88,7
69,94,66
24,81,30
55,74,22
38,77,41
56,87,92
44,91,4
10,79,34
95,43,2
14,92,25
73,52,26
66,17,96
15,80,75
64,68,35
37,92,47
9,75,88
53,3,65
76,89,63
55,87,94
33,15,59
81,36,83
57,78,36
52,36,27
27,70,9
17,95,60
14,87,72
71,87,26
69,57,15
9,99,17
55,25,64
94,77,9
20,98,42
82,5,17
79,4,11
19,45,93
75,9,22
35,55,31
100,97,84
80,79,74
33,51,77
33,90,98
73,43,77
45,36,34
88,78,14
57,55,23
33,74,14
58,40,52
36,89,49
73,85,22
11,25,15
23,42,50
84,10,15
10,29,29
11,47,100
55,25,85
20,93,47
53,7,50
8,12,72
45,60,27
49,36,58
45,39,69
41,34,45
78,72,40
69,37,67
27,21,10
51,37,8
2,67,25
98,99,69
64,17,44
26,40,88
21,82,54
30,42,82
30,10,14
48,63,69
81,85,83
49,21,64
94,27,70
55,83,22
63,57,43
35,55,3
37,42,2
68,13,12
24,73,66
70,13,72
93,91,79
65,95,41
57,2,98
54,85,34
26,94,81
31,75,92
81,71,96
99,27,99
18,54,40
39,87,30
64,23,80
100,78,1
94,13,28
71,83,3
98,33,97
94,71,39
32,26,26
77,2,13
64,66,3
72,44,43
92,29,23
25,39,92
53,77,16
1,87,48
41,47,39
74,95,26
17,34,36
19,51,27
38,80,55
59,21,58
30,6,98
64,12,40
77,68,30
36,62,52
85,54,91
82,82,13
99,68,82
19,65,78
56,14,41
90,34,24
23,97,74
45,97,20
24,93,100
63,46,85
59,15,49
21,99,90
28,73,14
80,11,32
6,22,63
98,57,80
24,26,27
21,43,92
42,17,37
67,63,7
21,55,10
43,73,40
57,81,32
12,38,7
69,72,80
53,44,41
44,80,22
90,64,69
82,82,39
87,44,93
71,98,48
19,26,62
34,15,68
83,43,28
85,60,2
62,57,12
97,59,12
69,78,60
72,50,29
10,28,85
64,54,5
88,28,65
74,21,11
1,48,64
99,31,54
32,3,80
18,98,12
48,8,36
45,91,89
34,20,7
60,79,22
73,65,16
87,57,46
47,32,5
70,48,9
57,42,1
84,27,74
55,2,35
70,48,52
94,54,23
65,7,16
9,75,47
6,89,42
55,58,16
3,38,7
61,36,52
78,84,3
20,11,34
58,75,5
82,27,87
96,41,16
40,50,52
96,6,10
99,23,56
14,16,47
71,54,77
98,64,25
8,32,80
18,18,60
84,4,84
100,33,80
47,73,59
2,22,3
90,30,94
39,75,26
36,28,44
42,43,47
95,100,22
4,79,23
10,43,47
74,37,11
38,25,22
47,43,78
12,39,55
43,11,56
57,91,88
77,91,43
49,57,65
34,78,2
100,38,11
37,57,30
11,80,75
55,100,87
14,64,45
10,24,73
95,79,19
70,26,83
81,32,38
36,3,75
97,59,38
43,10,45
65,48,11
45,41,84
29,81,53
16,81,59
22,50,58
78,12,37
39,4,69
77,7,55
74,38,50
30,87,54
36,6,67
46,75,82
86,97,80
10,100,68
94,7,8
11,70,82
90,67,37
29,63,39
92,62,9
81,92,47
13,13,75
91,30,75
83,76,30
43,27,72
29,15,4
56,22,49
4,7,48
31,70,59
25,78,47
42,29,96
100,19,50
59,43,82
62,33,68
97,83,99
56,63,58
62,77,58
8,8,2
46,98,15
94,46,77
40,39,33
82,38,89
89,98,18
2,66,96
32,35,19
57,97,3
25,71,14
90,62,83
35,42,70
54,86,76
7,47,74
3,7,37
32,21,68
69,23,41
77,83,87
27,56,38
13,44,16
43,90,6
85,100,64
24,4,19
72,79,31
21,97,7
65,64,58
51,95,53
18,81,64
74,92,91
57,83,43
62,97,90
76,2,25
95,92,99
84,54,10
90,74,1
41,58,40
39,53,71
29,5,64
2,26,47
44,84,18
24,63,75
50,21,30
47,4,9
89,36,71
34,6,81
96,98,33
78,20,30
80,81,67
54,61,25
64,57,14
2,28,22
90,27,45
41,56,78
69,70,33
100,6,80
11,71,34
54,23,21
67,98,69
5,63,42
59,39,30
71,1,60
60,57,21
84,25,39
25,8,63
17,17,77
56,96,64
23,52,80
47,60,52
90,29,59
37,14,75
56,88,76
37,37,68
80,8,15
29,28,10
41,44,69
76,35,64
17,43,47
29,59,13
52,20,20
84,99,51
80,98,12
95,92,93
38,28,58
58,50,31
55,28,22
14,59,57
97,32,24
45,77,59
15,61,79
11,96,32
37,57,91
88,69,93
13,31,93
82,82,67
44,94,94
1,95,62
23,72,19
42,73,84
52,93,88
91,36,87
69,25,82
65,31,44
64,48,71
20,37,85
44,25,50
1,97,76
87,26,2
36,9,88
74,10,27
3,15,93
78,20,55
6,16,92
26,2,22
25,35,9
4,29,18
59,36,74
49,72,71
6,54,76
22,50,59
26,28,35
7,90,50
59,8,14
9,58,61
90,40,23
90,76,21
77,43,87
21,46,53
38,39,92
99,71,14
86,69,12
35,66,12
44,84,50
94,97,51
79,2,23
23,80,47
38,72,60
46,21,17
3,2,78
32,96,62
37,94,94
58,27,89
90,90,85
1,53,3
2,78,51
47,75,6
43,31,19
49,97,84
89,77,27
52,54,33
2,58,62
87,8,13
71,87,23
71,92,12
85,15,14
36,26,60
68,98,50
39,13,39
58,84,4
63,14,55
7,32,41
23,63,48
40,92,93
13,43,58
89,81,28
75,75,65
25,83,66
9,82,41
84,82,30
85,44,72
30,51,98
95,80,88
37,4,96
93,4,48
53,56,35
48,63,8
41,73,43
44,43,34
45,13,96
86,2,84
97,37,16
62,56,33
86,8,12
39,43,75
22,4,15
11,62,62
25,26,38
90,69,43
78,88,51
31,54,85
70,90,20
38,66,90
45,65,77
89,19,50
52,25,47
81,28,5
91,59,2
37,78,28
38,55,54
58,51,8
48,62,49
10,15,27
54,11,100
74,74,27
27,64,57
73,59,47
8,86,39
88,29,35
53,30,8
60,50,61
61,42,51
98,51,35
60,33,64
24,33,72
89,62,53
97,32,84
43,39,88
59,79,9
9,88,54
28,9,31
19,4,1
73,39,19
44,23,66
78,73,71
42,25,81
81,77,26
1,50,7
37,8,96
62,14,98
54,27,36
5,80,43
16,92,66
75,87,95
72,36,36
99,3,90
39,67,24
9,58,12
69,24,67
67,64,4
55,92,87
99,24,36
59,67,47
51,43,48
7,79,6
32,15,86
52,22,20
73,77,28
19,58,25
39,18,25
100,48,33
90,42,12
91,47,3
36,31,84
7,10,20
56,30,66
17,83,38
40,16,69
99,5,67
41,36,14
57,41,54
23,14,24
54,82,10
21,71,58
77,58,69
14,30,55
98,18,61
92,92,47
27,82,81
47,45,49
56,43,28
30,30,4
28,11,39
33,35,23
78,49,13
48,58,99
55,75,17
81,88,38
100,80,72
55,58,27
85,3,94
19,98,54
36,26,51
61,7,51
35,6,47
35,83,91
60,68,55
7,97,32
68,41,32
53,100,95
45,53,72
66,75,24
7,35,68
81,16,91
81,23,10
85,94,34
76,69,36
32,19,48
63,9,61
62,7,64
29,45,53
72,51,47
1,75,89
19,92,43
45,37,51
52,44,66
12,77,3
8,4,81
7,88,75
29,6,29
67,67,6
45,15,97
64,5,81
73,70,20
90,44,89
88,1,63
1,67,25
46,65,34
9,55,43
86,78,59
30,7,7
71,18,1
32,50,84
80,30,97
58,2,3
32,26,79
45,91,30
29,88,65
2,51,23
89,33,6
72,64,45
93,61,62
79,56,64
76,4,77
75,100,44
98,64,61
69,85,17
65,47,44
29,25,12
76,8,81
84,65,18
41,56,3
34,31,88
9,65,43
83,95,98
61,52,55
37,8,87
39,5,71
8,3,45
45,76,95
62,35,52
55,62,89
8,27,5
28,25,51
36,50,48
69,77,12
69,47,48
64,62,41
99,49,7
100,61,100
60,11,40
27,3,11
96,65,87
48,10,26
87,71,13
85,16,34
99,8,4
28,32,100
61,70,61
39,27,58
85,90,12
9,28,44
39,26,76
68,11,39
46,89,4
11,95,47
7,33,23
85,79,85
79,90,68
27,100,46
94,16,48
12,17,21
66,6,44
91,84,40
43,71,82
92,4,5
73,36,94
65,36,36
33,99,91
55,27,19
11,39,55
17,54,71
24,99,78
90,50,45
39,16,74
22,36,39
22,47,3
72,17,60
98,94,27
80,28,27
42,44,67
51,97,88
54,50,13
5,93,43
71,45,60
75,17,69
12,16,100
88,69,46
23,83,34
98,42,97
72,87,88
11,37,17
83,86,43
60,53,3
100,91,46
18,59,44
31,96,37
57,76,7
84,99,31
10,79,52
61,93,65
93,30,44
59,40,75
70,81,49
71,11,4
46,53,11
89,73,63
33,62,29
55,94,79
91,55,85
25,28,71
88,71,45
37,63,73
64,49,57
86,43,75
85,47,74
12,30,47
94,98,8
98,26,15
36,18,61
82,16,3
67,74,7
70,13,46
70,70,75
90,5,7
77,29,55
92,77,45
53,68,84
44,38,62
18,72,66
29,51,97
78,91,89
82,16,92
13,88,4
100,37,91
30,83,86
41,80,56
98,86,76
98,79,96
89,26,45
58,42,69
94,54,69
84,78,49
4,65,39
31,28,55
66,28,71
38,94,87
82,89,33
61,24,19
40,17,69
24,57,51
73,66,73
80,75,47
47,8,12
77,70,46
62,75,41
7,8,66
9,32,97
27,86,53
56,9,4
62,70,93
69,24,43
10,47,35
79,66,12
85,86,36
95,35,72
46,72,55
63,78,41
17,48,90
52,12,63
69,74,60
89,92,41
88,34,8
34,15,78
39,99,41
23,1,86
1,55,27
60,8,2
48,14,88
59,39,75
62,45,14
1,47,4
27,95,77
69,6,21
98,45,6
51,39,32
12,55,98
18,93,45
8,29,26
60,95,36
29,92,34
11,53,64
93,86,31
52,44,77
30,6,52
36,5,9
63,35,6
33,17,48
56,87,28
46,69,57
12,51,90
88,25,19
95,74,97
48,86,42
92,98,36
27,84,37
88,60,14
99,5,7
41,2,83
60,74,5
61,57,92
83,68,32
69,66,11
68,58,9
85,96,53
79,4,66
32,77,20
73,30,70
12,74,28
53,23,45
18,30,42
82,25,61
8,7,73
47,100,14
64,45,51
34,56,15
47,72,6
27,23,37
11,75,83
96,19,57
1,7,78
57,27,13
60,58,18
22,20,52
94,91,64
57,100,64
13,67,58
22,66,51
50,30,79
32,94,38
91,31,74
27,50,76
65,36,61
43,4,15
68,1,90
52,89,6
37,57,78
90,26,12
41,22,99
17,17,85
45,81,40
55,65,17
92,61,5
39,49,37
39,85,7
32,31,21
29,44,38
61,9,91
70,94,80
55,6,74
75,36,18
71,73,34
31,35,96
67,68,63
80,99,6
77,6,75
33,43,62
22,67,84
1,59,15
15,81,3
66,59,82
66,17,54
86,7,98
61,30,78
68,40,96
33,61,87
10,15,59
40,19,80
48,62,4
6,51,58
34,86,16
65,28,56
21,63,6
3,34,92
83,90,36
80,98,51
33,62,52
64,31,56
58,10,21
15,63,64
78,26,61
23,54,91
90,39,67
60,13,57
24,71,45
53,46,82
88,89,6
4,82,36
30,26,97
59,60,63
78,47,55
33,19,21
98,50,87
54,78,87
69,74,86
73,88,4
96,73,66
72,31,76
11,26,74
42,64,40
4,63,28
36,77,6
7,38,68
46,44,45
48,22,18
34,12,92
85,5,66
33,91,16
98,88,76
3,17,32
69,17,60
4,58,66
76,76,3
90,47,60
28,54,5
16,94,61
25,33,74
53,68,3
63,76,19
95,76,50
36,43,34
67,76,66
21,93,5
96,63,36
11,65,29
97,36,15
90,24,72
35,55,73
23,25,36
52,15,51
84,70,43
67,75,85
42,19,73
21,9,19
83,92,74
7,29,78
100,88,29
52,5,8
38,97,80
40,73,29
34,66,35
78,33,100
32,70,4
80,63,36
79,97,80
27,3,61
67,12,14
51,74,32
88,69,84
31,57,21
90,20,5
92,66,51
6,2,63
99,94,63
40,29,78
90,31,93
96,29,81
96,100,19
26,13,36
34,60,87
11,56,71
64,73,94
100,6,14
79,31,12
80,43,91
34,30,53
5,73,49
1,20,64
69,1,33
37,48,38
31,28,17
52,45,91
77,36,18
61,29,66
82,44,1
2,55,51
53,16,13
69,68,80
28,29,27
92,30,21
40,85,66
48,74,35
10,38,87
60,95,64
56,57,92
97,84,7
98,8,87
7,4,39
28,3,44
65,81,25
96,70,47
85,90,10
56,29,14
22,2,10
32,96,92
37,29,62
42,47,18
56,36,30
100,49,74
97,80,62
81,56,72
82,37,46
94,13,68
79,55,15
91,41,7
50,92,29
95,3,79
18,43,15
15,65,87
2,12,1
91,60,15
15,21,38
19,38,63
75,85,99
44,19,31
85,8,95
67,32,45
59,7,99
66,7,16
68,60,73
2,6,49
75,79,53
97,41,63
52,13,5
65,69,81
25,19,92
69,66,79
50,44,6
85,100,24
49,47,41
26,74,96
84,52,12
11,15,60
89,33,88
80,17,50
86,61,7
63,93,16
54,40,39
19,95,74
48,32,60
70,18,97
85,14,45
6,42,55
71,25,25
58,80,50
90,82,8
29,4,10
69,94,65
2,49,23
81,2,50
50,71,23
39,30,71
35,85,54
40,66,64
93,74,42
32,73,93
49,91,9
35,21,82
24,11,53
39,9,94
46,43,3
25,66,16
68,67,40
27,16,52
18,37,65
34,23,80
64,18,100
83,4,68
90,52,89
34,60,76
20,3,23
70,14,53
82,83,80
59,64,73
16,92,83
54,63,56
41,20,59
28,40,59
57,65,49
77,38,94
90,41,56
95,31,93
96,32,84
70,60,11
48,35,82
35,43,5
12,76,77
100,20,75
58,68,60
25,84,16
92,18,18
86,23,98
83,24,69
87,83,78
75,16,12
64,36,8
27,63,23
34,80,47
6,16,42
4,57,22
79,78,49
28,30,60
41,92,88
86,73,77
92,70,98
6,39,85
3,30,71
18,2,44
3,54,13
99,51,5
86,89,90
50,100,41
45,28,64
7,12,95
14,69,91
71,37,86
47,64,81
14,11,89
68,75,80
81,2,21
80,3,95
14,32,78
53,34,42
40,10,49
58,93,75
89,87,77
89,92,51
82,34,46
62,61,19
27,42,30
18,60,13
57,84,27
99,37,3
49,22,80
29,58,20
52,79,62
1,51,23
91,3,84
95,44,59
19,12,41
9,1,62
82,74,35
74,2,65
16,49,85
37,49,81
70,54,48
76,70,46
66,77,77
50,95,37
3,69,5
79,23,3
2,7,34
82,26,52
50,59,26
13,63,90
89,40,87
25,30,3
2,98,46
27,33,97
92,100,34
57,11,50
23,75,54
80,67,27
50,14,54
13,29,31
10,79,77
44,89,96
56,56,81
27,59,56
66,86,84
18,56,22
37,83,10
39,51,20
69,64,62
72,65,81
42,100,35
90,32,47
95,90,100
71,97,13
71,100,100
69,12,11
60,30,23
46,98,40
50,6,58
48,2,55
84,9,70
14,73,97
74,72,36
45,100,52
39,89,76
29,37,65
7,99,35
8,86,77
46,94,69
29,38,17
63,19,34
6,11,30
13,4,72
71,73,75
53,44,3
47,72,40
81,16,87
26,37,61
36,47,2
10,30,59
36,67,58
90,36,36
25,88,87
75,37,55
6,81,34
55,22,75
74,82,96
34,55,75
12,37,52
80,38,45
75,49,42
15,76,43
58,23,28
4,70,21
25,48,31
57,54,14
1,61,85
59,61,96
13,69,47
41,39,58
73,32,68
99,80,72
36,81,28
94,22,52
23,17,3
40,12,33
87,1,56
73,62,14
80,34,57
32,4,28
82,80,60
99,77,77
43,37,23
13,63,81
29,78,6
5,45,33
10,26,48
98,98,5
2,91,33
8,23,85
98,86,45
100,92,68
74,39,86
14,37,63
88,30,4
20,45,11
63,10,40
64,74,50
97,63,23
45,11,19
84,9,17
82,85,8
76,44,99
37,43,68
97,87,25
15,73,71
42,69,65
30,30,92
26,35,51
58,97,30
67,83,43
27,89,49
87,100,6
84,7,27
80,58,68
11,50,73
93,53,86
37,25,62
91,3,92
60,29,16
73,21,10
79,92,40
97,58,36
29,80,8
88,46,39
92,15,89
14,90,51
7,95,28
31,72,100
49,70,15
3,31,4
45,14,35
80,94,18
56,90,98
24,81,41
28,14,7
92,84,55
68,64,83
80,37,83
63,5,77
92,14,35
2,88,95
9,43,29
19,46,79
9,19,50
5,28,47
36,40,39
65,2,14
47,85,46
38,48,97
13,52,39
100,51,6
76,12,74
29,37,4
53,19,21
5,17,44
69,84,88
69,19,21
91,68,37
85,93,20
42,38,55
49,81,3
5,27,82
33,91,92
60,26,91
22,1,37
76,58,24
38,76,40
65,59,7
80,88,28
91,91,85
93,71,13
46,99,33
25,47,42
70,92,44
53,14,38
96,2,47
49,17,32
64,86,42
16,85,93
30,56,85
74,6,80
14,57,4
12,47,100
1,12,37
29,70,25
5,38,84
2,45,41
45,32,14
53,65,25
30,6,53
71,68,24
63,26,36
91,1,7
100,43,6
69,71,93
6,100,53
57,73,68
60,29,54
7,94,10
53,15,33
79,67,62
36,98,43
80,35,13
64,39,83
73,16,100
53,17,53
12,86,85
94,40,39
33,36,31
85,63,4
18,13,97
48,91,11
87,82,1
35,88,40
32,45,66
7,27,54
27,4,67
26,42,8
21,26,70
94,98,91
11,40,51
12,41,34
60,67,70
19,47,66
65,98,6
30,85,65
6,75,22
39,93,17
60,26,9
18,97,3
2,36,29
24,10,61
8,50,74
23,43,10
7,4,23
57,30,23
8,69,76
98,77,8
39,61,34
65,74,45
44,46,14
53,39,96
86,75,1
74,49,42
11,67,37
59,44,81
24,81,61
63,53,28
69,21,92
61,7,51
39,4,9
38,33,35
62,94,67
22,1,42
87,78,7
19,48,49
36,79,24
8,87,30
60,16,73
81,81,83
23,83,7
24,98,53
67,4,36
74,41,44
82,64,51
90,100,11
25,6,13
66,44,57
23,31,4
36,59,53
49,13,1
77,34,49
33,12,91
55,81,34
67,65,74
34,30,12
96,40,63
88,18,57
67,74,24
64,18,36
42,36,53
4,40,50
89,40,16
14,21,74
53,95,10
57,31,84
44,76,34
22,19,75
24,95,73
20,74,49
46,74,11
63,31,89
82,43,11
58,8,73
21,79,50
86,67,2
19,39,85
90,100,20
21,93,92
16,77,82
67,23,3
80,33,62
6,54,55
39,90,1
3,21,1
41,64,75
6,52,1
39,96,25
40,15,3
54,58,76
52,41,69
20,4,75
46,86,10
31,96,62
25,93,100
78,55,33
80,73,79
6,61,95
70,25,95
70,63,56
23,12,56
31,58,79
58,3,88
69,68,2
38,46,39
66,53,58
69,34,47
39,67,63
87,78,84
63,35,92
12,96,12
4,27,59
59,62,66
8,7,69
100,19,18
64,28,56
84,13,9
78,24,62
98,5,3
27,77,93
17,93,11
12,92,8
75,81,86
49,84,46
35,4,33
87,96,47
77,38,92
95,24,64
82,10,85
32,99,82
9,35,36
15,92,20
64,64,62
73,9,16
51,78,96
63,58,51
4,86,2
73,61,51
19,35,76
67,100,37
44,64,6
87,78,88
15,48,95
21,14,65
100,71,99
19,18,14
26,27,20
57,19,65
21,29,5
43,87,73
61,21,7
94,12,81
67,57,36
94,38,56
17,89,65
23,38,58
92,83,25
4,85,78
75,95,49
98,75,55
78,10,41
23,68,83
26,79,25
29,82,64
70,43,45
28,97,20
54,97,4
68,85,84
60,80,48
24,52,97
19,90,43
94,81,21
75,10,72
62,15,30
56,53,57
75,64,35
89,62,41
84,7,48
57,20,51
18,78,52
48,62,68
35,26,2
100,89,10
53,24,40
56,10,98
84,58,15
96,83,89
31,62,86
52,68,66
52,43,2
44,42,66
2,26,21
51,28,54
33,56,8
99,5,58
65,56,73
11,48,91
13,11,97
56,29,59
98,1,57
82,24,99
63,64,89
18,67,47
6,7,39
70,78,45
35,63,70
76,16,59
20,36,20
70,48,7
54,50,81
39,1,15
33,97,62
84,96,3
25,31,20
80,25,65
74,95,90
52,90,11
76,97,33
85,35,49
24,14,21
50,85,67
20,46,42
61,21,98
6,96,32
87,26,51
35,36,51
82,9,65
36,89,48
40,96,77
11,93,57
60,51,9
17,78,86
59,74,36
31,22,57
28,87,76
20,89,30
53,43,13
94,22,50
11,72,77
22,10,40
9,78,28
3,61,35
69,9,97
60,88,51
29,8,59
96,100,43
83,94,85
99,99,66
9,79,16
6,87,76
100,42,5
95,61,64
76,18,26
6,94,29
43,99,92
31,35,6
43,96,80
31,61,62
78,50,23
25,56,92
89,65,17
37,79,84
23,41,34
65,99,68
43,53,10
58,75,86
66,34,16
89,65,66
97,90,47
82,61,17
2,50,33
44,70,98
21,95,58
25,32,25
13,26,54
32,49,98
39,73,22
38,21,24
52,62,64
75,14,100
49,93,67
43,87,45
32,42,53
39,77,65
60,3,45
35,7,60
31,36,99
98,1,4
3,64,8
49,3,95
7,54,17
87,44,96
79,32,55
57,32,58
71,59,83
35,79,31
99,45,26
45,83,100
74,88,71
23,33,88
34,80,75
49,90,8
61,80,60
43,36,100
47,1,43
48,7,55
79,85,90
43,6,85
80,25,44
74,25,67
88,78,53
75,48,7
40,6,60
32,22,7
57,39,93
96,55,23
95,69,46
13,66,81
16,33,44
19,21,25
35,97,83
39,49,64
73,37,11
3,17,42
40,13,56
46,20,26
23,70,83
72,17,20
19,67,25
66,23,22
73,86,67
81,89,35
89,83,98
75,23,60
20,59,99
28,56,88
63,95,52
63,90,67
78,34,88
99,40,74
69,33,59
46,45,99
83,14,18
61,24,1
22,79,45
90,85,7
32,64,31
12,99,7
9,87,18
50,35,80
27,6,23
31,99,4
49,6,75
35,78,95
87,27,71
29,45,58
19,61,84
32,99,85
12,45,58
7,51,18
6,6,36
47,22,23
40,24,60
82,37,38
73,74,22
66,8,12
2,94,28
2,98,56
97,33,10
23,21,47
37,43,83
72,92,38
38,33,4
72,23,52
9,97,43
28,94,73
1,63,14
85,93,42
89,27,39
60,31,61
96,90,90
60,61,3
69,23,96
70,97,20
89,12,69
69,84,66
92,22,16
5,17,27
86,64,55
10,5,99
71,45,21
69,95,61
72,70,67
82,18,25
32,70,93
58,22,44
70,7,85
28,76,51
41,5,83
37,46,18
81,27,99
56,52,29
58,65,19
81,37,62
43,78,71
66,70,21
36,43,41
10,56,97
5,74,8
90,50,93
25,5,40
67,73,48
30,17,85
77,91,23
80,8,25
75,38,74
19,64,34
27,59,74
91,34,99
20,44,33
25,74,34
49,27,78
37,7,53
88,51,88
50,12,14
51,35,17
7,47,44
64,88,83
34,50,60
76,51,26
22,8,88
30,22,39
6,84,12
88,26,37
67,98,31
76,64,89
77,37,39
81,13,29
66,40,1
23,11,95
90,87,31
23,17,34
60,79,29
12,77,63
98,95,27
49,48,87
78,79,23
71,28,98
35,65,69
32,100,18
41,79,90
80,4,42
54,96,35
34,22,50
37,31,91
58,18,61
68,16,11
13,29,50
62,38,82
80,52,76
81,53,58
93,86,12
6,47,20
76,34,46
70,7,39
16,1,71
17,62,4
42,5,61
41,96,66
15,23,99
22,42,19
16,91,37
58,91,70
63,93,87
23,1,30
34,4,23
45,82,49
75,12,72
22,22,13
5,90,40
35,6,12
14,97,24
54,26,37
52,59,67
7,60,9
43,9,82
59,71,39
73,65,73
42,75,98
4,69,7
85,31,75
89,60,16
85,1,17
96,9,20
92,26,16
1,60,14
32,35,53
23,47,44
69,83,84
12,81,63
73,18,55
24,98,44
67,44,19
51,61,76
5,52,54
86,99,79
19,22,77
34,57,17
51,57,63
5,29,88
2,47,42
57,50,7
33,6,16
27,95,16
12,67,49
25,76,42
80,39,3
38,65,12
63,82,5
52,91,48
100,83,28
57,74,76
6,93,21
98,8,82
21,73,95
19,30,22
95,78,32
57,24,97
58,89,49
89,70,16
48,26,29
58,79,27
89,98,80
27,82,89
10,100,68
69,56,65
93,76,83
56,57,45
80,61,77
79,88,91
78,3,18
67,87,51
88,99,65
57,84,14
77,32,40
37,24,1
6,78,79
47,46,50
23,83,74
2,23,69
10,15,58
67,37,37
2,70,59
10,25,74
81,34,39
84,47,33
79,80,56
23,52,58
35,76,50
39,48,72
80,57,57
32,97,54
62,74,98
20,50,59
50,20,27
17,45,1
86,47,35
22,80,58
45,100,29
41,67,2
9,20,72
100,5,32
38,15,44
11,20,93
28,82,77
20,66,79
57,16,24
6,21,24
99,47,10
97,29,69
58,93,97
81,99,18
13,29,56
77,92,41
42,91,16
38,5,24
30,52,40
14,24,54
99,88,13
12,35,94
58,1,44
43,23,50
78,58,79
80,48,5
60,44,49
9,15,5
35,31,78
59,78,39
92,64,79
4,15,12
34,52,1
72,42,43
32,69,45
6,43,14
81,69,47
19,8,26
60,83,77
65,99,50
37,26,25
98,62,92
18,75,1
76,64,98
83,63,86
22,85,89
9,68,16
23,13,89
43,9,62
42,80,21
69,33,10
89,80,50
25,17,95
21,71,6
69,66,74
86,82,69
19,21,64
39,18,27
35,70,60
9,79,14
55,45,13
89,83,18
65,32,29
24,63,50
21,42,12
98,89,83
23,7,60
59,39,14
4,35,90
27,50,70
33,47,48
24,89,76
82,23,46
87,73,64
61,64,60
9,86,95
100,45,66
97,17,65
56,20,63
9,59,79
31,6,69
77,10,81
57,10,72
50,28,82
68,14,25
3,27,43
55,85,80
52,95,22
84,50,23
25,17,34
18,24,90
98,85,24
89,48,29
100,97,36
73,86,89
66,93,25
18,26,49
93,8,85
45,18,26
51,19,42
13,42,86
18,47,87
25,9,27
10,58,69
70,54,85
26,82,61
89,30,69
22,91,29
87,69,39
27,53,57
35,98,51
37,72,7
8,69,3
64,3,59
13,58,36
57,11,98
93,74,42
36,52,17
22,26,80
9,2,98
83,91,87
16,66,53
50,31,58
89,64,70
32,38,29
68,63,53
68,43,8
12,37,2
5,68,35
51,80,15
56,9,75
21,99,100
85,52,48
98,63,39
99,11,70
34,94,22
79,26,91
25,51,26
42,41,91
79,13,44
8,11,19
46,94,98
3,67,35
97,53,58
12,24,25
46,13,48
62,46,35
24,31,99
61,4,38
77,28,77
27,6,9
98,10,63
38,58,33
96,98,41
92,41,97
26,22,83
25,7,81
39,53,93
30,45,46
7,37,96
56,68,60
47,56,28
92,74,51
3,2,92
82,97,72
92,33,42
46,66,40
23,64,57
49,64,60
54,89,75
50,21,49
25,72,18
5,63,87
15,13,40
17,61,69
4,55,76
5,90,44
61,55,81
39,20,62
60,23,96
6,2,59
43,43,14
49,34,92
84,1,80
98,14,59
50,69,2
18,54,60
61,24,98
53,82,65
80,8,66
81,80,69
55,70,92
93,18,74
40,100,36
